food_name,calories,protein,fat,carbs
idli,88,27.89,7.75,75.56
orange,336,4.49,14.08,63.95
idli,322,9.47,13.7,69.24
fried_rice,391,14.45,10.61,32.07
apple,167,13.01,24.07,20.33
cake,93,20.66,12.41,53.78
chicken_curry,175,13.94,10.61,55.45
fried_rice,222,19.85,23.69,79.36
fish_fry,253,28.97,7.99,59.9
pizza,304,6.6,6.72,8.7
cake,292,21.33,16.77,19.5
fish_fry,373,17.5,12.6,39.05
noodles,54,7.7,1.83,5.8
tofu,179,23.16,14.83,46.65
apple,141,1.56,6.21,61.77
egg_omelette,368,26.41,15.12,26.36
apple,232,4.69,22.73,9.52
dosa,418,4.96,13.08,45.33
milk,291,17.38,1.63,42.03
pasta,277,1.67,4.93,61.11
chicken_curry,469,24.73,15.46,42.66
poha,279,19.01,20.33,33.35
tofu,248,19.01,12.36,25.2
poha,422,24.99,2.47,32.14
pasta,112,23.63,15.4,67.13
chicken_curry,498,9.94,17.66,58.91
tofu,500,29.47,4.15,58.63
coffee,451,18.15,16.3,55.6
rice,146,19.99,9.78,55.98
egg_omelette,466,3.87,9.54,13.79
orange,202,2.27,2.76,33.89
salad,319,29.38,20.82,51.51
idli,56,22.35,15.17,45.8
paneer,141,7.13,13.78,49.17
coffee,490,7.16,9.3,44.49
dal,318,8.57,8.18,60.71
poha,431,15.88,4.04,24.14
chapati,174,18.59,11.77,71.82
cake,392,19.79,3.97,54.58
cake,434,2.46,18.5,38.63
egg_omelette,139,19.99,23.45,18.92
sandwich,143,26.36,20.55,33.94
poha,86,7.45,11.86,67.21
chicken_curry,408,13.0,12.63,67.15
paneer,388,12.81,16.72,71.94
upma,333,19.82,23.56,46.58
noodles,304,28.63,6.02,66.52
banana,228,13.71,14.35,36.35
upma,204,20.6,2.3,39.46
egg_omelette,145,8.3,11.51,8.21
pizza,172,21.01,17.97,47.64
tea,109,14.72,22.29,22.5
juice,368,5.13,7.29,21.5
salad,335,15.01,16.73,8.48
burger,360,8.32,6.07,71.4
pasta,294,2.34,24.62,18.63
orange,223,27.79,24.57,56.09
banana,460,19.25,19.32,12.46
upma,479,12.77,9.24,39.71
dosa,243,9.49,2.08,48.65
poha,461,12.07,11.37,56.41
dosa,347,17.89,1.19,29.42
rice,494,14.54,17.59,27.72
chicken_curry,146,28.22,8.19,64.13
juice,281,4.49,22.31,59.77
cake,398,27.83,1.67,33.69
sambar,208,15.33,24.52,51.79
idli,158,7.41,13.45,69.78
coffee,261,22.63,16.8,78.0
chicken_curry,157,5.81,8.39,51.14
sandwich,490,8.0,13.42,26.71
idli,407,28.99,18.01,25.68
fish_fry,99,19.54,3.14,12.62
milk,139,3.28,0.58,63.01
grapes,371,23.63,11.67,16.81
grapes,153,16.58,9.41,27.82
rice,242,2.16,7.26,12.54
poha,499,24.0,19.36,10.64
pizza,296,6.5,6.08,41.14
fish_fry,177,5.95,12.03,47.42
sambar,65,28.82,0.94,70.18
banana,154,4.14,19.71,7.77
tea,245,13.82,2.86,44.73
noodles,176,10.62,17.21,45.55
orange,329,2.09,17.49,63.45
grapes,410,7.71,3.32,24.24
poha,229,21.54,3.8,55.88
noodles,273,24.34,23.98,66.36
poha,270,9.43,19.47,10.19
banana,218,24.33,9.2,48.43
orange,244,25.6,17.39,12.55
sambar,117,23.82,20.18,5.34
dal,388,15.37,7.73,57.32
orange,158,12.45,21.9,29.9
rice,287,13.4,23.04,28.25
fish_fry,128,12.65,24.12,51.37
cake,400,1.16,19.3,59.69
fish_fry,57,20.06,10.53,55.38
upma,137,6.77,8.58,47.03
salad,460,2.65,13.11,27.3
milk,241,15.58,23.68,15.26
milk,377,20.59,23.57,18.8
paneer,374,27.66,4.41,77.63
banana,330,18.79,24.47,43.06
fish_fry,120,29.87,5.65,23.56
grapes,379,22.01,8.96,38.37
grapes,265,29.01,6.81,21.83
idli,498,17.97,16.89,60.03
idli,453,18.22,1.53,74.1
tea,243,25.57,20.52,56.29
grapes,192,9.71,16.36,9.47
burger,185,14.09,13.84,38.35
chapati,424,24.41,14.15,48.43
fried_rice,390,8.65,8.67,65.53
sandwich,118,13.27,0.84,34.83
sambar,212,16.48,5.12,8.32
tofu,444,23.96,13.02,7.47
upma,338,20.81,11.2,41.36
egg_omelette,310,15.89,3.58,32.28
orange,395,25.05,22.52,32.57
chicken_curry,261,21.7,21.74,8.15
grapes,446,13.94,18.86,39.87
fish_fry,322,6.21,22.71,66.53
burger,218,21.62,21.04,67.54
upma,55,6.05,22.42,57.26
paneer,455,22.4,10.54,34.6
paneer,319,28.06,2.0,51.39
salad,249,7.75,6.72,34.64
fried_rice,175,16.4,1.28,10.89
rice,167,15.85,5.42,24.94
pizza,230,2.21,15.37,6.97
poha,332,19.34,1.59,68.4
cake,365,16.64,9.27,28.02
apple,66,13.18,16.92,27.2
pizza,108,26.13,7.17,35.09
pizza,492,7.78,19.11,21.04
salad,192,3.44,19.47,8.49
idli,312,18.48,20.81,43.47
chicken_curry,164,22.65,24.13,49.82
egg_omelette,140,14.05,19.26,66.8
rice,226,27.93,18.05,22.41
juice,288,15.98,21.3,12.81
salad,328,29.29,13.65,54.05
burger,185,18.11,15.5,14.74
milk,397,20.99,20.27,38.43
dal,360,9.53,9.6,41.94
salad,223,2.1,2.25,26.25
burger,153,23.98,24.01,53.51
sambar,198,11.02,0.78,13.6
chapati,133,9.31,20.83,53.71
ice_cream,343,14.07,1.63,43.73
noodles,262,18.46,12.3,71.91
dosa,160,19.37,6.51,53.16
banana,399,7.6,7.13,13.81
dosa,70,20.51,1.29,48.62
chicken_curry,486,24.04,21.07,29.35
dal,490,13.06,2.66,53.04
upma,79,4.03,22.32,50.28
egg_omelette,206,7.07,10.07,71.78
pizza,262,3.35,13.88,59.9
pizza,439,15.3,16.43,55.53
rice,163,22.99,11.59,52.48
juice,468,14.19,0.55,19.97
fried_rice,174,9.16,0.74,45.44
cake,149,11.18,10.79,49.17
rice,235,18.97,1.9,74.6
tofu,122,12.5,15.9,56.16
juice,130,25.45,14.41,41.92
dal,475,25.64,7.32,5.2
juice,166,8.23,3.21,59.78
upma,106,7.73,17.75,56.43
rice,64,17.36,9.79,34.45
tofu,388,24.26,6.38,37.83
poha,333,4.71,4.38,44.38
grapes,80,28.78,23.21,33.69
paneer,480,25.94,6.25,62.53
poha,443,1.26,9.51,40.19
juice,211,8.85,22.81,70.83
tofu,290,24.29,19.69,73.36
cake,120,24.19,5.33,47.97
idli,133,23.03,10.76,29.3
cake,344,7.37,14.57,62.09
fried_rice,324,4.82,24.5,40.5
salad,307,21.23,12.43,40.18
egg_omelette,208,27.96,11.5,52.7
tofu,376,23.28,17.36,46.9
juice,378,1.92,1.45,37.61
coffee,468,13.43,6.42,28.81
noodles,280,6.0,0.59,54.49
sambar,329,17.69,15.93,9.36
ice_cream,87,21.05,1.08,66.68
rice,214,11.97,14.58,12.28
dosa,446,11.44,24.58,25.38
fried_rice,322,26.44,13.36,14.98
apple,355,14.94,8.44,26.73
chicken_curry,414,7.46,22.09,54.72
cake,460,2.81,17.28,33.6
ice_cream,80,29.75,23.67,34.53
tofu,477,7.96,23.95,44.14
tofu,253,24.22,2.37,60.49
paneer,300,12.76,15.93,55.33
grapes,261,5.89,13.34,65.98
pizza,232,28.09,4.43,6.7
egg_omelette,382,24.45,19.96,14.56
fish_fry,190,17.83,5.22,9.87
burger,303,22.63,22.68,39.83
rice,272,1.56,12.75,77.86
grapes,314,3.04,13.27,14.61
fish_fry,403,13.1,23.54,64.8
burger,67,17.71,16.35,43.55
upma,372,14.41,19.31,14.17
dosa,250,2.57,4.65,28.44
burger,335,2.02,23.59,57.02
sambar,410,5.69,19.41,50.31
juice,362,17.72,7.51,39.62
coffee,416,15.74,17.7,55.95
rice,141,3.77,5.18,6.32
upma,300,13.25,7.29,54.46
apple,268,2.49,5.89,37.57
apple,134,10.47,5.9,20.21
sambar,223,8.56,23.26,18.12
pizza,335,25.28,3.22,24.99
upma,428,28.7,6.87,44.74
burger,366,28.77,19.19,47.75
ice_cream,261,21.85,22.49,44.23
sambar,264,2.66,23.95,48.23
chicken_curry,246,14.32,10.81,72.91
tea,288,15.77,5.08,58.9
idli,84,11.64,7.34,31.82
salad,482,23.56,18.48,55.02
idli,257,8.22,17.81,61.08
tofu,341,21.93,9.62,55.54
idli,393,25.38,20.03,7.14
idli,264,21.04,23.45,76.87
tofu,398,17.63,7.29,39.44
pizza,212,18.77,6.73,74.88
burger,326,26.72,8.81,9.77
tofu,120,8.15,12.58,29.64
dal,280,1.44,7.86,39.96
noodles,189,17.89,5.68,45.43
banana,241,17.61,20.37,10.56
tea,204,19.1,23.82,79.96
noodles,404,10.56,16.84,44.79
sandwich,196,12.92,18.64,50.24
idli,347,8.38,8.79,77.78
ice_cream,136,16.26,12.36,77.16
sambar,298,2.07,17.21,21.85
sandwich,253,18.42,17.59,60.86
pasta,467,21.38,21.88,47.44
cake,499,29.97,1.02,24.07
salad,238,26.02,20.31,32.93
salad,280,5.76,19.64,16.28
milk,197,2.43,22.56,49.01
apple,373,12.23,11.35,30.96
fish_fry,147,22.36,7.65,56.66
pizza,229,3.37,14.78,48.73
juice,341,17.5,20.09,71.61
orange,413,2.31,22.13,69.48
fried_rice,493,27.16,3.44,49.82
dal,369,9.48,0.71,73.53
coffee,74,4.96,0.64,77.92
chicken_curry,258,1.61,5.18,64.59
sandwich,54,23.96,1.17,48.52
paneer,253,11.82,10.62,63.47
rice,450,4.86,9.99,30.42
salad,78,29.27,8.64,41.64
burger,289,25.71,23.52,65.13
salad,371,15.74,18.8,20.39
juice,192,2.76,23.16,77.45
dal,177,28.19,3.8,19.99
paneer,492,22.47,14.84,79.11
tea,220,4.37,21.51,46.79
salad,437,8.75,3.77,7.43
idli,476,28.18,20.57,10.35
cake,270,2.96,1.43,21.48
burger,167,29.39,6.33,6.86
rice,330,5.88,9.19,61.37
juice,149,4.27,2.4,61.26
salad,191,18.7,15.14,44.86
noodles,463,12.27,13.24,66.3
burger,126,11.35,17.42,41.69
paneer,499,19.28,4.27,38.68
sandwich,346,10.25,4.75,43.81
upma,154,8.44,18.75,32.32
egg_omelette,256,16.75,20.01,50.53
paneer,251,12.6,5.48,63.3
upma,338,27.57,8.07,58.82
juice,288,17.33,16.81,15.02
salad,428,9.32,12.06,12.23
ice_cream,478,6.53,8.95,30.57
pasta,305,23.36,6.54,14.8
pasta,166,29.17,10.48,76.81
idli,248,17.48,13.86,44.67
pasta,350,16.17,3.31,52.98
ice_cream,177,23.79,10.99,22.56
idli,275,13.79,18.2,70.91
sandwich,453,14.21,3.81,15.17
noodles,64,2.84,11.5,79.34
idli,251,2.14,1.86,16.17
sandwich,237,27.11,12.19,65.18
egg_omelette,437,20.92,21.34,57.15
ice_cream,434,16.67,18.5,76.94
orange,494,20.71,13.89,39.92
tofu,304,13.75,16.15,45.36
egg_omelette,499,19.34,4.46,74.63
pizza,126,2.75,24.71,55.44
dal,293,10.13,24.27,76.08
fried_rice,497,3.98,20.99,75.85
apple,458,12.0,11.0,78.9
coffee,106,12.08,17.46,62.09
sandwich,137,20.01,2.72,48.35
tofu,327,12.84,24.41,68.45
pasta,245,14.16,2.67,60.49
pasta,446,7.16,9.28,51.85
pizza,179,27.61,14.25,58.03
rice,465,18.18,15.31,51.35
fish_fry,305,18.6,19.2,20.14
fried_rice,443,12.09,18.3,44.07
pasta,402,26.88,17.63,33.27
noodles,403,17.39,11.97,38.63
dosa,89,13.36,10.75,34.49
pizza,93,8.45,20.64,26.48
sambar,438,2.27,13.27,68.46
paneer,232,17.37,13.95,65.16
sandwich,346,19.16,1.69,8.57
sambar,219,28.89,8.22,41.72
dal,254,24.71,17.29,57.39
banana,205,28.68,2.96,44.84
banana,114,27.52,4.02,74.35
rice,238,4.32,9.47,76.74
pasta,347,4.67,3.22,29.87
noodles,190,22.2,8.08,14.82
chapati,267,10.27,17.09,27.9
pizza,447,11.68,6.9,45.08
noodles,432,11.92,22.72,43.51
milk,245,5.17,9.77,59.82
tofu,70,25.22,3.53,30.78
chicken_curry,260,12.75,17.21,20.94
milk,496,23.21,23.1,65.64
tofu,394,14.38,3.25,46.66
sambar,71,9.72,10.65,37.06
grapes,95,26.69,4.86,46.05
juice,193,24.53,4.98,12.64
tea,291,9.28,14.03,79.61
milk,205,18.17,14.09,40.84
dal,375,10.56,10.85,65.98
egg_omelette,224,19.0,22.87,43.26
pasta,500,24.83,23.13,56.68
grapes,414,17.93,11.31,6.76
fried_rice,193,22.56,15.32,13.86
burger,345,28.2,0.88,33.86
ice_cream,454,15.87,11.49,55.29
fried_rice,148,14.68,13.85,77.77
fish_fry,500,20.42,1.35,8.05
chapati,186,7.52,14.75,39.88
burger,448,16.72,20.8,73.67
pasta,297,9.54,6.93,27.72
milk,201,29.73,5.71,7.57
grapes,170,26.47,17.99,57.73
coffee,247,20.55,13.65,60.8
chapati,370,29.37,24.5,53.37
tofu,375,8.67,8.22,30.98
sandwich,226,23.78,10.43,40.02
sandwich,315,24.4,11.88,42.91
paneer,265,21.68,12.5,7.28
burger,490,4.97,16.94,33.84
salad,484,22.15,24.62,50.1
fish_fry,199,27.87,24.72,54.35
egg_omelette,361,21.38,22.71,22.79
egg_omelette,262,3.6,11.43,16.68
pizza,95,19.51,15.23,43.14
fried_rice,90,10.2,10.17,47.85
poha,498,19.71,22.51,36.79
pizza,75,14.99,19.9,64.94
chapati,404,8.59,2.47,66.98
pizza,446,16.36,1.68,26.11
dal,424,20.88,2.57,71.53
sambar,294,16.01,10.12,21.99
pasta,224,6.96,0.65,10.7
dal,422,14.09,24.86,62.5
sambar,154,15.73,15.78,63.35
chicken_curry,94,11.19,12.13,36.36
chapati,73,10.51,24.36,8.18
dosa,497,13.13,17.31,16.61
coffee,474,1.96,22.59,59.62
chapati,400,9.54,18.46,24.88
sandwich,66,23.26,10.35,48.3
pizza,304,11.84,11.54,61.18
burger,406,12.69,15.58,17.64
dal,301,9.89,19.03,24.57
pizza,329,1.53,6.44,38.84
fried_rice,244,18.06,4.05,28.46
idli,488,3.81,6.3,6.25
chapati,415,29.72,20.61,31.96
paneer,255,2.23,10.44,54.8
paneer,217,16.9,15.77,74.94
sandwich,292,3.56,17.08,71.72
pasta,381,12.42,23.66,69.24
ice_cream,422,13.06,7.28,24.18
coffee,481,15.43,16.62,66.65
idli,280,20.81,5.9,60.99
orange,204,6.11,1.05,73.72
tofu,102,7.23,20.53,46.75
poha,143,5.79,16.92,77.13
tea,429,5.28,12.48,68.68
dosa,294,3.78,12.56,33.82
apple,78,18.35,23.51,58.14
pizza,355,2.99,17.12,36.27
apple,451,9.85,19.89,17.4
apple,353,23.45,5.26,33.54
dal,73,19.78,21.38,69.85
pasta,388,13.24,21.49,8.92
banana,433,5.68,4.31,8.17
pizza,97,11.43,12.73,11.69
tea,474,25.31,23.43,6.83
tea,141,25.15,18.02,52.58
dosa,420,21.85,13.89,52.76
apple,333,10.31,24.56,50.7
chicken_curry,468,12.83,4.14,41.17
upma,329,22.84,19.78,53.8
orange,66,15.6,14.88,76.91
apple,97,20.77,20.42,47.13
poha,286,9.91,20.76,30.68
poha,146,15.69,10.92,50.48
sambar,396,14.31,7.56,40.31
coffee,314,12.83,10.32,53.77
fish_fry,251,19.35,24.01,32.83
cake,250,14.71,8.16,79.19
dosa,271,11.16,19.29,70.15
tofu,377,26.14,20.25,52.43
cake,77,25.38,3.67,40.32
sambar,215,22.44,2.43,53.68
coffee,305,22.03,23.77,70.44
fish_fry,199,3.95,11.6,57.0
fried_rice,162,3.5,17.23,49.16
salad,141,13.52,18.51,71.81
poha,97,6.15,24.41,9.8
rice,498,11.8,17.47,6.37
milk,74,15.55,19.0,70.45
noodles,493,3.8,21.9,31.64
fried_rice,292,10.32,7.35,64.8
dosa,332,22.66,18.45,76.17
chapati,100,1.48,2.45,22.57
cake,119,26.76,4.68,21.08
sandwich,57,18.72,3.38,67.99
fish_fry,394,28.6,16.93,79.52
grapes,389,3.04,14.77,74.62
ice_cream,193,13.16,2.73,20.93
paneer,319,27.69,21.82,27.82
chapati,220,17.38,22.19,68.45
fish_fry,433,22.83,2.51,53.17
pizza,197,4.87,1.24,41.79
orange,52,8.36,9.79,77.31
orange,138,19.03,23.11,45.07
rice,237,21.75,4.43,42.74
juice,84,20.73,1.24,74.18
egg_omelette,500,2.08,2.53,67.54
banana,267,10.58,5.78,30.23
coffee,363,4.57,23.73,22.42
ice_cream,323,24.68,6.26,52.97
noodles,227,17.47,23.39,56.27
coffee,373,10.58,23.56,45.67
dal,138,29.58,4.04,79.99
salad,173,4.3,24.54,24.38
coffee,249,23.74,23.85,5.55
noodles,346,15.2,23.76,10.86
chapati,442,1.23,23.61,36.34
paneer,282,3.59,24.83,12.06
ice_cream,402,16.69,9.14,75.42
tofu,190,21.15,1.4,54.45
burger,447,2.33,16.33,53.59
dosa,372,1.54,12.1,56.57
tofu,130,15.1,20.9,66.84
fried_rice,361,4.45,14.44,37.95
dosa,428,15.25,13.28,63.97
egg_omelette,383,25.15,2.22,48.88
milk,294,3.18,12.27,16.24
juice,75,27.84,11.07,66.08
poha,85,2.87,24.7,18.51
cake,397,21.41,3.8,54.01
sambar,466,3.97,21.95,22.51
pasta,195,22.76,9.38,59.3
juice,211,29.46,11.99,31.49
chicken_curry,134,15.32,2.43,56.08
cake,320,23.39,5.22,20.7
poha,73,7.36,18.49,64.61
dosa,150,6.17,22.49,27.88
coffee,319,19.88,8.05,58.63
idli,265,18.4,10.07,5.63
paneer,289,4.12,23.75,58.41
egg_omelette,161,18.39,24.52,43.46
fish_fry,65,11.75,12.03,6.24
milk,320,1.33,17.37,73.0
dosa,104,5.77,3.69,34.82
salad,403,18.48,2.36,42.82
orange,235,4.26,21.0,40.9
rice,348,9.06,0.95,30.13
coffee,375,14.88,17.96,22.69
apple,236,25.54,21.3,37.72
poha,137,29.6,15.26,24.55
burger,291,7.84,6.66,41.73
chicken_curry,494,6.62,17.1,19.56
pizza,323,9.57,17.67,37.52
paneer,170,21.42,1.46,14.04
apple,436,22.44,14.92,71.91
egg_omelette,200,9.49,19.48,10.85
pasta,290,15.92,11.14,59.65
fried_rice,323,6.62,10.1,58.16
chicken_curry,219,8.11,13.95,39.87
pasta,486,11.2,7.81,26.32
paneer,414,21.97,2.58,41.55
milk,109,26.0,18.01,60.49
